source,target,label
excavator operator,excavator,NPT
designer,designing,NPT
supervisor,suprevison,NPT
secretary,cecrtari,NPT
worker,worfker,NPT
worker,workser,NPT
retail specialist,retails,NPT
marketer,mamarketer,NPT
medical doctor,physiciian,NPT
medical doctor,physiscion,NPT
insurance manager,"manager, insurance",NPT
child care specialist,cild care,NPT
computer aided design operator,aided computer design operator,NPT
head of digital,digital head,NPT
craftsman,master craftsman,NPT
director of advocacy,advocacy director,NPT
resolution specialist,resolution,NPT
sales center manager,center manager sales,NPT
mining manager,mines managertr,NPT
vice president worldwide operations,operations president vice worldwide,NPT
business market manager,business manager market,NPT
information technology relationship manager,it relationship manager,NPT
family business,family buisnes,NPT
intellectual property associate,ip associate,NPT
director of event management,director event management,NPT
creative project manager,"manager, creative project",NPT
membership services manager,"manager, membership services",NPT
software quality assurance test engineer,assurance engineer quality software test,NPT
computer aided design supervisor,aided computer design supervisor,NPT
director of nutrition services,"director, nutrition services",NPT
personal account manager,"manager, personal account",NPT
spine specialist,spine,NPT
general manager finance administration,administration finance general manager,NPT
corporate records manager,corporate manager records,NPT
freelance account executive,account executive freelance,NPT
cardiovascular intensive care nurse,cardio-vascular intensive care bsn,NPT
endoscopy nurse,endoscopic bsn,NPT
attorney,attoryne,NPT
student,thesis,NPT
secretary,secretaqr,NPT
security professional,security professional,NPT
superintendent,suuperintendent,NPT
salesperson,salwsman,NPT
vice president of services,"vice president, services",NPT
"environment, health and safety manager",environmental health & safety manager,NPT
mediator,médiator,NPT
employee relations manager,"manager, employee engagement",NPT
collaborator,collarborator,NPT
financial planning and analysis manager,fp&a manager,NPT
financial planning and analysis manager,"manager, fp&a",NPT
vice president of risk,"vice president, risk",NPT
esthetician,aestheticaian,NPT
senior business intelligence consultant,senior business intelligence consultant,NPT
telesales specialist,tele seles,NPT
senior tax consultant,consultant senior tax,NPT
civil servant,governamenat,NPT
assistant to general manager,general manager assistant,NPT
safety supervisor,safty supervaiser,NPT
housekeeping specialist,housekeepnig,NPT
technical lead manager,lead manager technical,NPT
senior database developer,database developer senior,NPT
artist relations specialist,artist relations,NPT
head of music,"head, music",NPT
director of fulfillment,director fulfillment,NPT
regional sales consultant,consultant regional sales,NPT
independent sales director,director independent sales,NPT
enumerator,enuimerator,NPT
enumerator,enumirator,NPT
head of key accounts,account head key,NPT
information system auditor,auditor information system,NPT
business implementation manager,"manager, business implementation",NPT
accounting tax manager,"manager, accounting tax",NPT
risk insurance manager,insurance manager risk,NPT
quality assurance quality control inspector,qaqc inspector,NPT
director of sports marketing,director marketing sports,NPT
learning technology manager,"manager, learning technology",NPT
project resources manager,manager project resources,NPT
entomologist,economologist,NPT
short term consultant,consultant short term,NPT
technical art director,art director technical,NPT
manager enterprise risk services,enterprise manager risk services,NPT
front office developer,developer front office,NPT
student software engineer,software student,NPT
summer associate law clerk,associate clerk law summer,NPT
customer insights analyst,consumer insight analyst,NPT
corporate travel counselor,corporate counselor travel,NPT
engineering administrative assistant,administrative assistant engineering,NPT
freelance human resources consultant,freelance hr consultant,NPT
veterinary medicine professional,veterinary medicine,NPT
hospice and palliative nurse,hospice and palliative bsn,NPT
paint technician,paint tech,NPT
groundworker,ground worker,NPT
supervisor,syperviser,NPT
information technology manager,it manager,NPT
secretary,secretaryii,NPT
advisor,adevasior,NPT
assistant professor,assistand proffesor,NPT
board member,board of directors,NPT
employee,empolyee,NPT
professional,proferssial,NPT
help desk specialist,hrhelpdesk,NPT
ambassador,ambasader,NPT
animation specialist,anjmetion,NPT
marketing research specialist,marketing research,NPT
client relations specialist,cleint relation,NPT
solutions developer,solution deveopler,NPT
personnel director,director personnel,NPT
executive director of development,executive director development,NPT
network operations center technician,center network operations technician,NPT
conservator,restorer,NPT
customer service analyst,analyst customer service,NPT
product lifecycle management consultant,plm consultant,NPT
brand specialist,brand,NPT
constructor,cunstructer,NPT
instrumentation and control engineer,instrumentation control engineer,NPT
